week,drive_carrier,pop_size,female,drop_size,sampling.drive,sampling.female,num,sem_drive,sem_female,sem_femaleratio
0,0.031388479,2708,NA,100,0.031388479,NA,21,0.003,NA,
2,0.14049587,2447,859.168889,100,0.14049587,859.168889,21,0.032,107.668,0.044
3,0.10204082,2317,1179.26165,100,0.10204082,1179.26165,21,0.025,94.997,0.041
4,0.08695652,1761,646.081169,100,0.08695652,646.081169,21,0.022,66.918,0.038
5,0.12403101,2660,835.371901,100,0.12403101,835.371901,21,0.029,109.06,0.041
6,0.15068545,2340,862.679194,100,0.15068545,862.679194,21,0.027,79.56,0.034
7,0.1773399,2271,889.986486,100,0.1773399,889.986486,21,0.031,81.756,0.036
8,0.18867925,2746,839.055556,100,0.18867925,839.055556,21,0.024,90.618,0.033
9,0.12631579,1839,563.064607,100,0.12631579,563.064607,21,0.024,51.492,0.028
10,0.21428571,1913,736.049524,100,0.21428571,736.049524,21,0.055,89.911,0.047
11,0.48809524,1133,356.850394,500,0.48809524,356.850394,21,0.055,48.719,0.043
12,0.54216867,1754,405.884298,500,0.54216867,405.884298,21,0.045,42.096,0.024
13,0.71287129,1500,92.3076923,500,0.71287129,92.3076923,21,0.035,45,0.030
14,0.61928934,1685,439.834559,500,0.61928934,439.834559,21,0.039,57.29,0.034
15,0.58282209,1874,502.978355,500,0.58282209,502.978355,21,0.029,69.338,0.037
16,0.8427673,1821,682.875,500,0.8427673,682.875,21,0.032,60.093,0.033
17,0.77192982,1756,476.628571,500,0.77192982,476.628571,21,0.042,70.24,0.040
18,0.64341085,1086,366.137143,500,0.64341085,366.137143,21,0.033,30.408,0.028
19,0.61711712,927,220.42671,500,0.61711712,220.42671,21,0.037,28.737,0.031
20,0.70945946,665,111.413613,500,0.70945946,111.413613,21,0.028,17.955,0.027
21,0.72834646,1434,350.73065,500,0.72834646,350.73065,21,0.028,37.284,0.026
22,0.81967213,947,149.064815,500,0.81967213,149.064815,21,0.041,35.039,0.037
23,0.67669173,933,265.056818,500,0.67669173,265.056818,21,0.037,29.856,0.032
24,0.80869565,796,145.255474,500,0.80869565,145.255474,21,0.029,24.676,0.031
25,0.85034014,1031,201.319527,500,0.85034014,201.319527,21,0.011,18.558,0.018
26,0.984,1322,72.8661417,500,0.984,72.8661417,21,0.014,13.22,0.010
27,0.96531792,1183,19.8268156,500,0.96531792,19.8268156,21,0.006,9.464,0.008
28,0.99401198,873,10.3928571,500,0.99401198,10.3928571,21,0.011,7.857,0.009
29,0.97169811,867,19.8853211,500,0.97169811,19.8853211,21,0.009,7.803,0.009
30,0.99115044,751,13.1754386,500,0.99115044,13.1754386,21,0.000,6.759,0.009
31,1,370,3.27433628,500,1,3.27433628,21,0.010,2.22,0.006
0,0.041728,2037,NA,100,0.041728,NA,22,0.004,NA,
2,0.1323529,2607,636.35433,100,0.1323529,636.35433,22,0.029,96.459,0.037
3,0.1512605,1641,581.80909,100,0.1512605,581.80909,22,0.033,72.204,0.044
4,0.1365854,2532,1073.7801,100,0.1365854,1073.7801,22,0.024,86.088,0.034
5,0.1794872,2185,666.78404,100,0.1794872,666.78404,22,0.035,91.77,0.042
6,0.2288164,2133,854.42279,100,0.2288164,854.42279,22,0.036,85.32,0.040
7,0.2781457,2556,1042.0615,100,0.2781457,1042.0615,22,0.040,112.464,0.044
8,0.2755906,2477,1119.7397,100,0.2755906,1119.7397,22,0.029,84.218,0.034
9,0.2171717,1934,668.40793,100,0.2171717,668.40793,22,0.023,63.822,0.033
10,0.125,2487,939.53333,100,0.125,939.53333,22,0.036,89.532,0.036
11,0.3791209,2219,925.21017,500,0.3791209,925.21017,22,0.048,82.103,0.037
12,0.5648148,1769,342.3871,500,0.5648148,342.3871,22,0.051,81.374,0.046
13,0.6436782,1988,522.27119,500,0.6436782,522.27119,22,0.032,49.7,0.025
14,0.3813559,1857,374.31675,500,0.3813559,374.31675,22,0.038,64.995,0.035
15,0.5722892,1685,440.80169,500,0.5722892,440.80169,22,0.018,43.81,0.026
16,0.9259259,1444,317.43103,500,0.9259259,317.43103,22,0.036,51.984,0.036
17,0.7761194,1593,398.25,500,0.7761194,398.25,22,0.045,57.348,0.036
18,0.5932203,1207,225.40361,500,0.5932203,225.40361,22,0.032,30.175,0.025
19,0.7433155,1271,194.70638,500,0.7433155,194.70638,22,0.041,36.859,0.029
20,0.7391304,904,105.98621,500,0.7391304,105.98621,22,0.039,33.448,0.037
21,0.7520661,1101,247.90728,500,0.7520661,247.90728,22,0.033,29.727,0.027
22,0.8156028,1058,145.71257,500,0.8156028,145.71257,22,0.043,39.146,0.037
23,0.7117117,1015,234.23077,500,0.7117117,234.23077,22,0.031,22.33,0.022
24,0.7771429,1201,123.46729,500,0.7771429,123.46729,22,0.024,34.829,0.029
25,0.8915663,770,142.28261,500,0.8915663,142.28261,22,0.018,13.09,0.017
26,0.9090909,1366,128.0625,500,0.9090909,128.0625,22,0.022,21.856,0.016
27,0.9344262,994,30.584615,500,0.9344262,30.584615,22,0.013,11.928,0.012
28,0.9727891,670,13.311258,500,0.9727891,13.311258,22,0.009,NA,NA
29,0.9908257,671,0,500,0.9908257,0,22,0.012,NA,NA
30,0.9823009,407,0,500,0.9823009,0,22,0.000,NA,NA
31,1,194,0,500,1,0,22,0.017,NA,NA
